,,Game,Game,Def,Def,Def,Def,Def,Fumb,Fumb,Fumb,Fumb,Fumb,,Tack,Tack,Tack,Tack,
Player,Pos,G,GS,Int,IntYds,IntTD,IntLong,PD,FF,Fmb,FR,FmbYds,FumbTD,Sacks,Comb,Solo,Ast,TFL,Sfty
,,,,,,,,,,,,,,,,,,,
Budda Baker,fs,16,16,0,0,0,0,6,1,0,1,0,0,0.5,147,104,43,7,0
Zach Cunningham,LB,16,16,0,0,0,0,2,0,0,2,24,0,2,142,99,43,7,0
Blake Martinez,LB,16,16,1,22,0,22,2,1,0,0,0,0,3,155,97,58,5,0
Eric Reid,FS,16,16,0,0,0,0,6,1,0,2,0,0,4,130,97,33,7,0
Jordan Hicks,LB,16,16,3,64,0,48,6,2,0,1,0,0,1.5,150,93,57,11,0
Joe Schobert,LB,16,16,4,24,0,20,9,2,0,1,21,0,2,133,89,44,7,0
Fred Warner,LB,16,16,1,46,1,46,9,3,0,0,0,0,3,118,89,29,7,0
Demario Davis,LB,16,16,1,1,0,1,12,0,0,0,0,0,4,111,87,24,11,0
Bobby Wagner,LB,16,16,1,6,0,6,6,1,0,1,5,0,3,159,86,73,7,0
Anthony Walker,LB,16,16,1,0,0,0,2,1,0,0,0,0,2.5,124,84,40,6,0
Jaylon Smith,LB,16,16,1,0,0,0,9,2,0,1,6,0,2.5,142,83,59,6,0
Lavonte David,LB,16,16,1,26,0,26,7,3,0,1,0,0,1,123,82,41,10,0
Tracy Walker,DB,13,12,1,0,0,0,8,1,0,0,0,0,0,103,82,21,6,0
Antoine Bethea,fs,16,16,1,7,0,7,6,0,0,2,0,0,0,110,81,29,2,0
Luke Kuechly,LB,16,16,2,26,0,25,12,0,0,0,0,0,0,144,81,63,4,1
Shawn Williams,fs,16,15,1,12,0,12,3,0,0,0,0,0,1,114,80,34,5,0
Tahir Whitehead,lb,16,16,0,0,0,0,1,0,0,0,0,0,0,108,79,29,6,0
Landon Collins,ss,15,15,0,0,0,0,4,2,0,0,0,0,1,117,78,39,9,0
Todd Davis,LB,14,14,0,0,0,0,1,0,0,0,0,0,0,134,78,56,6,0
Cory Littleton,LB,16,16,2,32,0,26,9,2,0,4,16,0,3.5,134,78,56,6,0
Jerome Baker,LB,16,15,1,34,0,34,4,2,0,0,0,0,1.5,126,76,50,3,0
De'Vondre Campbell,LB,16,15,2,-5,0,0,5,3,0,1,0,0,2,129,75,54,6,0
Shaq Thompson,LB,14,14,0,0,0,0,3,0,0,0,0,0,3,109,75,34,11,0
Cole Holcomb,LB,16,15,0,0,0,0,1,3,0,0,0,0,1,105,74,31,6,0
Logan Ryan,CB,16,16,4,16,0,16,18,4,0,0,0,0,4.5,113,73,40,4,0
Devin Bush,LB,16,15,2,6,0,6,4,1,0,4,20,1,1,109,72,37,9,0
Kyle Fuller,DB,16,16,3,37,0,29,12,0,0,0,0,0,0,82,72,10,1,0
Jessie Bates,fs,16,16,3,33,0,20,9,1,0,1,0,0,0,100,71,29,0,0
Terrell Edmunds,fs,16,16,0,0,0,0,3,0,0,0,0,0,0,105,71,34,2,0
Darius Leonard,LB,13,13,5,92,1,80,7,2,0,0,0,0,5,121,71,50,7,0
Jordan Poyer,fs,16,16,2,0,0,0,3,3,0,3,0,0,1,107,71,36,4,0
Eric Kendricks,LB,15,15,0,0,0,0,12,2,0,2,25,0,0.5,110,70,40,4,0
Jayon Brown,LB,14,14,1,0,0,0,8,0,0,1,47,1,1,105,69,36,3,0
Rashaan Evans,LB,16,16,0,0,0,0,0,0,0,1,53,1,2.5,111,69,42,9,0
Eric Weddle,S,16,16,0,0,0,0,4,0,0,0,0,0,0,108,69,39,1,0
