,,Scor,Scor,Scor,Scor,Scor,Kick,Kick,Punt,Punt,Punt,Punt
Player,Pos,FGA,FGM,Lng,XPA,XPM,KO,TB,Pnt,Yds,Lng,Blck
,,,,,,,,,,,,
Harrison Butker,K,38,34,56,48,45,98,60,0,0,0,0
Wil Lutz,K,36,32,58,49,48,94,74,0,0,0,0
Zane Gonzalez,K,35,31,54,35,34,83,45,2,84,44,0
Matt Gay,K,35,27,58,48,43,1,0,0,0,0,0
Josh Lambo,K,34,33,56,20,19,40,23,0,0,0,0
Brandon McManus,K,34,29,53,26,25,72,55,0,0,0,0
Greg Zuerlein,K,33,24,58,42,42,83,64,0,0,0,0
Joey Slye,K,32,25,55,35,31,70,66,0,0,0,0
Chris Boswell,K,31,29,51,28,28,72,31,0,0,0,0
Randy Bullock,K,31,27,57,25,24,71,46,0,0,0,0
Robbie Gould,K,31,23,47,42,41,1,0,0,0,0,0
Matt Prater,K,31,26,56,36,35,19,8,0,0,0,0
Dustin Hopkins,K,30,25,53,22,21,68,48,0,0,0,0
Brett Maher,K,30,20,63,36,36,69,36,0,0,0,0
Jason Sanders,K,30,23,54,30,29,71,49,0,0,0,0
Austin Seibert,K,29,25,53,35,30,75,30,1,37,37,0
Dan Bailey,K,29,27,50,44,40,87,66,0,0,0,0
Justin Tucker,K,29,28,51,59,57,106,57,0,0,0,0
Stephen Hauschka,K,28,22,51,32,30,73,42,0,0,0,0
Jason Myers,K,28,23,54,44,40,85,59,0,0,0,0
Eddy Pineiro,K,28,23,53,29,27,52,26,0,0,0,0
Sam Ficken,K,27,19,54,26,23,62,29,0,0,0,0
Daniel Carlson,K,26,19,48,36,34,71,38,0,0,0,0
Jake Elliott,K,26,22,53,37,35,81,52,0,0,0,0
Younghoe Koo,K,26,23,50,16,15,50,27,0,0,0,0
Ka'imi Fairbairn,K,25,20,54,45,40,81,42,1,26,26,0
Adam Vinatieri,K,25,17,55,28,22,0,0,0,0,0,0
Mason Crosby,K,24,22,54,41,40,79,49,0,0,0,0
Chase McLaughlin,K,23,18,50,26,26,18,7,0,0,0,0
Nick Folk,K,17,14,51,12,12,1,0,0,0,0,0
Aldrick Rosas,K,17,12,45,39,35,71,50,0,0,0,0
Michael Badgley,K,16,13,49,19,19,11,1,0,0,0,0
Matt Bryant,k,14,9,52,15,14,5,0,0,0,0,0
Kai Forbath,K,11,11,50,12,11,23,15,0,0,0,0
Ty Long,P,9,7,51,9,9,47,28,48,2256,60,0
Cairo Santos,k,9,4,53,12,12,21,12,0,0,0,0
Stephen Gostkowski,k,8,7,41,15,11,26,21,0,0,0,0
Mike Nugent,k,8,5,37,16,15,0,0,0,0,0,0
Ryan Succop,K,6,1,31,25,24,17,3,0,0,0,0
Cody Parkey,k,3,3,51,6,5,12,9,0,0,0,0
Kaare Vedvik,k,1,0,0,1,0,3,3,0,0,0,0
Lac Edwards,P,0,0,0,0,0,3,0,87,3991,63,0
Jake Bailey,P,0,0,0,0,0,65,38,81,3638,65,0
Pat O'Donnell,P,0,0,0,0,0,15,10,80,3586,75,1
Corey Bojorquez,P,0,0,0,0,0,1,0,79,3313,67,1
Tress Way,P,0,0,0,0,0,0,0,79,3919,79,0
Brett Kern,P,0,0,0,0,0,0,0,78,3672,70,0
Colby Wadman,P,0,0,0,0,0,0,0,78,3464,64,0
JK Scott,P,0,0,0,0,0,0,0,77,3386,66,0
Sam Martin,P,0,0,0,0,0,61,17,76,3445,62,0
Logan Cooke,P,0,0,0,0,0,36,16,75,3507,66,0
Kevin Huber,P,0,0,0,0,0,0,0,75,3394,63,0
Michael Palardy,P,0,0,0,0,0,6,0,75,3452,62,0
Jordan Berry,P,0,0,0,0,0,3,0,74,3368,69,0
Michael Dickson,P,0,0,0,0,0,0,0,74,3341,63,0
Cameron Johnston,P,0,0,0,0,0,0,0,71,3292,61,0
Riley Dixon,P,0,0,0,0,0,1,0,69,3178,62,2
Matt Haack,P,0,0,0,0,0,2,0,69,3105,62,0
A.J. Cole,P,0,0,0,0,0,0,0,67,3081,74,0
Johnny Hekker,P,0,0,0,0,0,2,1,66,3128,71,1
Jamie Gillan,P,0,0,0,0,0,4,0,63,2913,71,1
Britton Colquitt,P,0,0,0,0,0,1,0,62,2802,59,0
Andy Lee,P,0,0,0,0,0,0,0,61,2913,64,1
Thomas Morstead,P,0,0,0,0,0,1,0,60,2770,64,0
Rigoberto Sanchez,P,0,0,0,0,0,79,60,59,2619,60,0
Bradley Pinion,P,0,0,0,0,0,97,88,57,2464,63,0
Mitch Wishnowsky,P,0,0,0,0,0,96,49,52,2333,65,0
Chris Jones,P,0,0,0,0,0,0,0,50,2079,58,1
Dustin Colquitt,P,0,0,0,0,0,0,0,48,2126,68,1
Bryan Anger,P,0,0,0,0,0,1,0,45,2094,71,0
Sam Koch,P,0,0,0,0,0,0,0,40,1855,62,1
Ryan Allen,P,0,0,0,0,0,0,0,28,1172,59,0
Trevor Daniel,p,0,0,0,0,0,0,0,11,479,54,0
Matthew Bosher,p,0,0,0,0,0,6,4,9,377,52,1
Kasey Redfern,p,0,0,0,0,0,15,9,9,371,54,0
Matt Wile,k,0,0,0,0,0,11,7,6,290,60,0
Ryan Winslow,p,0,0,0,0,0,0,0,6,291,55,0
Greg Joseph,k,0,0,0,9,9,11,6,0,0,0,0
