,,Game,Game,Punt,Punt,Punt,Punt,Kick,Kick,Kick,Kick
Player,Pos,G,GS,PuntRet,PuntRetYds,PuntTds,PuntLng,RtAttempts,RtYds,RtTds,RtLng
,,,,,,,,,,,
Deonte Harris,wr,14,1,36,338,1,53,24,644,0,51
Richie James,wr,16,1,33,264,0,32,20,428,0,81
Andre Roberts,NA,13,0,28,223,0,22,25,664,0,66
Kenjon Barner,NA,14,0,35,267,1,78,17,406,0,47
Trevor Davis,NA,14,4,22,145,0,32,23,506,0,52
Mecole Hardman,wr,16,5,18,167,0,36,27,704,1,104
De'Anthony Thomas,NA,14,0,26,148,0,20,17,321,0,31
Pharoh Cooper,NA,13,1,17,129,0,29,25,561,0,39
Diontae Spencer,wr,16,2,26,208,0,42,15,436,0,60
Steven Sims,wr,16,2,6,26,0,11,32,819,1,91
Desmond King,DB,15,8,21,118,1,68,16,331,0,43
Jamal Agnew,NA,13,0,19,175,1,64,17,454,1,100
DeAndre Carter,wr,16,3,22,214,0,23,14,308,0,31
Tarik Cohen,RB,16,11,33,302,0,71,2,23,0,16
Dontrell Hilliard,NA,14,0,15,107,0,18,17,421,0,74
Jojo Natson,NA,12,0,19,149,0,35,13,289,0,30
Alex Erickson,wr,16,6,25,157,0,17,4,79,0,26
Jakeem Grant,wr,10,2,5,6,0,5,23,578,1,101
Cordarrelle Patterson,wr,16,4,0,0,0,0,28,825,1,102
Tyler Ervin,NA,10,0,16,115,0,18,11,267,0,45
Tyler Lockett,WR,16,16,13,66,0,20,14,279,0,33
T.J. Logan,NA,12,0,13,124,0,40,13,271,0,39
Braxton Berrios,NA,16,0,21,240,0,26,4,48,0,25
Cody Latimer,WR,15,10,0,0,0,0,24,570,0,50
Brandon Bolden,rb,15,2,0,0,0,0,23,515,0,38
Dede Westbrook,WR,15,11,23,132,0,43,0,0,0,0
Kalif Raymond,wr,8,1,4,45,0,14,18,403,0,45
Michael Walker,NA,7,0,3,13,0,7,18,411,0,35
Diontae Johnson,WR,16,12,20,248,1,85,0,0,0,0
Gunner Olszewski,NA,8,0,20,179,0,22,0,0,0,0
Darius Phillips,cb,8,1,3,8,0,9,17,373,0,37
Brandon Wilson,s,12,2,0,0,0,0,20,625,1,92
Ray-Ray McCloud,NA,6,0,10,82,0,39,8,174,0,31
Ty Montgomery,rb,16,2,0,0,0,0,18,364,0,34
Tavon Austin,NA,14,0,17,84,0,15,0,0,0,0
Chester Rogers,wr,12,6,14,137,0,21,3,27,0,13
Tremon Smith,NA,8,0,4,0,0,3,13,303,0,36
Ryan Switzer,NA,9,0,8,29,0,13,9,166,0,26
Trey Quinn,wr,12,6,16,78,0,15,0,0,0,0
Boston Scott,rb,11,2,6,43,0,13,10,229,0,33
Marcus Sherels,NA,8,0,12,56,0,15,4,66,0,21
Nyheim Hines,rb,16,2,9,281,2,84,6,123,0,25
Troymaine Pope,NA,14,0,1,0,0,0,14,288,0,34
Jalen Richard,NA,16,0,6,21,0,12,9,188,0,29
Bobo Wilson,wr,6,1,15,42,0,11,0,0,0,0
Mike Hughes,cb,14,3,14,104,0,23,0,0,0,0
Tony Pollard,NA,15,0,0,0,0,0,14,245,0,30
Miles Sanders,RB,16,11,0,0,0,0,14,314,0,67
Kerrith Whyte,NA,6,0,0,0,0,0,14,264,0,34
Ameer Abdullah,NA,16,0,0,0,0,0,13,325,0,38
Justice Hill,NA,16,0,0,0,0,0,12,227,0,46
Adam Humphries,wr,12,3,12,78,0,21,0,0,0,0
Cyrus Jones,cb,8,1,12,113,0,25,0,0,0,0
Dare Ogunbowale,NA,16,0,0,0,0,0,12,223,0,26
Darrius Shepherd,NA,6,0,2,-9,0,0,9,147,0,21
Darren Sproles,rb,6,1,11,86,0,17,0,0,0,0
Danny Amendola,WR,15,10,10,55,0,15,0,0,0,0
Corey Ballentine,cb,13,2,0,0,0,0,10,256,0,52
David Moore,wr,14,1,10,75,0,18,0,0,0,0
Zach Pascal,WR,16,13,0,0,0,0,10,263,0,47
Mohamed Sanu,NA,15,12,10,56,0,14,0,0,0,0
Da'Mari Scott,wr,5,2,6,32,0,12,4,110,0,35
Vyncint Smith,wr,13,4,0,0,0,0,10,299,0,78
Golden Tate,WR,11,10,10,97,0,17,0,0,0,0
Tavierre Thomas,NA,16,0,0,0,0,0,10,204,0,31
DeAndrew White,NA,10,0,0,0,0,0,10,226,0,36
Preston Williams,wr,8,7,10,115,0,21,0,0,0,0
Greg Dortch,NA,2,0,4,28,0,11,5,119,0,32
Darius Jennings,NA,8,0,0,0,0,0,9,196,0,26
Darius Slayton,WR,14,9,0,0,0,0,9,189,0,30
Nsimba Webster,NA,5,0,7,18,0,14,2,57,0,30
Chad Beebe,NA,3,0,7,46,0,15,1,13,0,13
T.J. Jones,NA,3,0,8,96,0,60,0,0,0,0
Parris Campbell,wr,7,3,0,0,0,0,7,175,0,36
Dwayne Harris,NA,3,0,3,20,0,11,4,149,0,72
D'Ernest Johnson,NA,16,0,2,9,0,9,5,129,0,47
Christian Kirk,WR,13,13,7,39,0,20,0,0,0,0
Greg Ward,wr,7,3,7,24,0,16,0,0,0,0
Reggie Bonnafon,NA,16,0,0,0,0,0,6,111,0,35
Randall Cobb,wr,15,6,4,34,0,14,2,11,0,11
Kendall Sheffield,CB,16,11,0,0,0,0,6,106,0,29
Devontae Booker,NA,16,0,0,0,0,0,5,112,0,32
Trenton Cannon,NA,4,0,0,0,0,0,5,96,0,28
Chris Hogan,wr,7,1,4,20,0,8,1,21,0,21
Travis Homer,rb,16,1,0,0,0,0,5,109,0,29
Micah Hyde,S,16,16,3,16,0,10,2,47,1,45
Andy Isabella,wr,15,1,0,0,0,0,5,105,0,32
Adoree' Jackson,CB,11,10,3,26,0,17,2,23,0,23
Justin Jackson,NA,7,0,0,0,0,0,5,107,0,28
Jarvis Landry,WR,16,16,5,53,0,18,0,0,0,0
D.J. Moore,WR,15,15,5,41,0,16,0,0,0,0
Jabrill Peppers,S,11,11,4,49,0,40,1,23,0,23
Hunter Renfrow,wr,13,4,5,38,0,13,0,0,0,0
Cedrick Wilson,NA,6,0,2,13,0,13,3,64,0,22
Damiere Byrd,wr,11,3,0,0,0,0,4,59,0,23
Corey Clement,NA,4,0,1,0,0,0,3,73,0,26
Alvin Kamara,RB,14,9,4,30,0,27,0,0,0,0
