Player,Pos,G,GS,Rec,Yds,TD,Lng,Fmb
,,,,,,,,
Michael Thomas,WR,16,15,149,1725,9,49,1
Christian McCaffrey,RB,16,16,116,1005,4,28,1
Keenan Allen,WR,16,16,104,1199,6,45,0
DeAndre Hopkins,WR,15,15,104,1165,7,43,0
Julian Edelman,WR,16,13,100,1117,6,44,3
Julio Jones,WR,15,15,99,1394,6,54,1
Allen Robinson,WR,16,15,98,1147,7,49,0
Travis Kelce,TE,16,16,97,1229,5,47,1
Cooper Kupp,WR,16,14,94,1161,10,66,3
Austin Ekeler,RB,16,8,92,993,8,84,3
Tyler Boyd,WR,16,15,90,1046,5,47,2
Darren Waller,TE,16,16,90,1145,3,75,1
Robert Woods,WR,15,15,90,1134,2,48,0
Zach Ertz,TE,15,15,88,916,6,30,1
D.J. Moore,WR,15,15,87,1175,4,52,2
Chris Godwin,WR,14,14,86,1333,9,71,0
George Kittle,TE,14,14,85,1053,5,61,1
Davante Adams,WR,12,12,83,997,5,58,2
Jarvis Landry,WR,16,16,83,1174,6,65,0
Tyler Lockett,WR,16,16,82,1057,8,44,1
Alvin Kamara,RB,14,9,81,533,1,41,4
Tarik Cohen,RB,16,11,79,456,3,31,3
Amari Cooper,WR,16,16,79,1189,8,53,0
Jamison Crowder,WR,16,12,78,833,6,41,0
Leonard Fournette,RB,15,15,76,522,0,27,1
Larry Fitzgerald,WR,16,16,75,804,4,54,1
Austin Hooper,TE,13,10,75,787,6,35,0
Odell Beckham,WR,16,15,74,1035,4,89,1
DJ Chark,WR,15,14,73,1008,8,69,0
John Brown,WR,15,15,72,1060,6,53,0
DeVante Parker,WR,16,14,72,1202,9,51,0
Courtland Sutton,WR,16,14,72,1112,6,70,2
James White,rb,15,1,72,645,5,59,1
Tyler Higbee,TE,15,15,69,734,3,33,0
Christian Kirk,WR,13,13,68,709,3,69,0
Cole Beasley,WR,15,10,67,778,6,51,0
Mike Evans,WR,13,13,67,1157,8,67,0
Le'Veon Bell,RB,15,15,66,461,1,23,1
Michael Gallup,WR,14,12,66,1107,6,62,0
Emmanuel Sanders,wr,17,16,66,869,5,75,0
Dede Westbrook,WR,15,11,66,660,3,39,1
Kenny Golladay,WR,16,16,65,1190,11,75,1
Mark Andrews,te,15,4,64,852,10,51,2
Stefon Diggs,WR,15,15,63,1130,6,66,4
Calvin Ridley,WR,13,10,63,866,7,36,0
Jason Witten,TE,16,16,63,529,4,33,1
Danny Amendola,WR,15,10,62,678,1,47,0
Marvin Jones,WR,13,11,62,779,9,47,0
Devonta Freeman,RB,14,14,59,410,4,28,3
Diontae Johnson,WR,16,12,59,680,5,45,5
Mohamed Sanu,wr,15,12,59,520,2,28,0
Dallas Goedert,TE,15,9,58,607,5,28,2
Tyreek Hill,WR,12,12,58,860,7,57,0
Terry McLaurin,WR,14,14,58,919,7,75,0
D.K. Metcalf,WR,16,15,58,900,7,54,3
Deebo Samuel,WR,15,11,57,802,3,42,2
Sterling Shepard,WR,10,10,57,576,3,36,0
Randall Cobb,wr,15,6,55,828,3,59,2
Hunter Henry,TE,12,12,55,652,5,30,1
Ezekiel Elliott,RB,16,16,54,420,2,27,3
Curtis Samuel,WR,16,15,54,627,6,44,0
Dalvin Cook,RB,14,14,53,519,0,31,4
Robby Anderson,WR,16,15,52,779,5,92,1
Saquon Barkley,RB,13,13,52,438,2,65,1
A.J. Brown,WR,16,11,52,1051,8,91,1
Anthony Miller,wr,16,7,52,656,2,35,1
Greg Olsen,TE,14,14,52,597,2,41,0
Sammy Watkins,WR,14,13,52,673,3,68,2
Mike Gesicki,te,16,5,51,570,5,34,1
Kenyan Drake,rb,14,10,50,345,0,26,2
Miles Sanders,RB,16,11,50,509,3,45,2
Will Fuller,WR,11,11,49,670,3,54,1
Russell Gage,wr,16,4,49,446,1,19,1
Aaron Jones,RB,16,16,49,474,3,67,3
Hunter Renfrow,wr,13,4,49,605,4,65,1
Golden Tate,WR,11,10,49,676,6,64,1
Mike Williams,WR,15,15,49,1001,2,56,0
Darius Slayton,WR,14,9,48,740,8,55,0
Chris Conley,WR,16,14,47,775,5,70,0
Jaylen Samuels,rb,14,4,47,305,1,27,1
Marquise Brown,WR,14,11,46,584,7,83,0
T.Y. Hilton,WR,10,10,45,501,5,35,0
Evan Engram,te,8,6,44,467,3,75,0
Nyheim Hines,rb,16,2,44,320,0,21,1
Duke Johnson,rb,16,2,44,410,3,21,1
James Washington,WR,15,10,44,735,3,79,1
Jared Cook,te,14,7,43,705,9,61,0
Corey Davis,WR,15,11,43,601,2,38,1
Jack Doyle,TE,16,16,43,448,4,23,1
Tyler Eifert,te,16,4,43,436,3,27,0
Alex Erickson,wr,16,6,43,529,0,52,4
Royce Freeman,rb,16,0,43,256,1,19,0
Alshon Jeffery,WR,10,10,43,490,4,38,0
Albert Wilson,wr,13,4,43,351,1,35,0
Brandin Cooks,WR,14,14,42,583,2,57,0
Melvin Gordon,RB,12,11,42,296,1,25,4
JuJu Smith-Schuster,WR,12,12,42,552,3,76,1
Chris Thompson,rb,11,0,42,378,0,39,1
