,Game,Game,Tack,Tack,Tack,Tack,Tack,Def,Def,Def,Def,Fumb,Fumb,Fumb,Fumb,Fumb
Player,G,GS,Sacks,Solo,Ast,Comb,TFL,Int,IntYds,IntTd,PD,Fmb,FR,FumbYds,FumbTD,FF
,,,,,,,,,,,,,,,,
Terrell Suggs,244,226,139,630,265,895,202,7,144,2,63,0,15,74,1,37
Von Miller,135,135,106,380,110,490,135,2,68,1,21,0,9,65,1,26
Cameron Wake,155,126,100.5,282,82,364,99,1,12,0,16,0,2,0,0,22
Chandler Jones,119,116,96,295,126,421,105,1,0,0,23,0,8,0,1,27
J.J. Watt,112,112,96,373,106,479,158,1,80,1,54,0,15,68,1,23
Clay Matthews,156,150,91.5,383,136,519,130,6,191,2,44,1,5,109,1,17
Ryan Kerrigan,140,140,90,321,116,437,114,3,61,3,24,0,3,0,0,26
Justin Houston,118,112,89.5,352,74,426,109,4,52,1,32,0,13,24,1,16
Calais Campbell,186,168,88,519,177,696,151,3,24,0,48,1,11,73,3,14
Cameron Jordan,144,143,87,312,151,463,113,2,6,1,47,0,10,11,0,10
Carlos Dunlap,148,111,81.5,315,157,472,101,2,30,2,58,0,9,100,1,20
Robert Quinn,125,106,80.5,226,64,290,90,0,0,0,20,0,2,33,1,25
Jason Pierre-Paul,137,109,79.5,384,133,517,112,2,52,2,51,0,8,53,1,16
Geno Atkins,153,134,75.5,227,156,383,100,0,0,0,6,1,2,19,1,8
Everson Griffen,147,88,74.5,258,97,355,86,2,46,1,16,0,6,34,1,9
Aaron Donald,94,90,72,220,92,312,117,0,0,0,11,0,5,40,0,15
Michael Bennett,156,101,69.5,259,100,359,132,0,0,0,6,0,5,39,1,13
Khalil Mack,94,93,61.5,308,90,398,86,2,33,2,19,0,7,1,0,20
Gerald McCoy,139,139,59.5,235,99,334,86,0,0,0,24,0,4,12,0,6
Ndamukong Suh,158,158,58.5,346,173,519,114,1,20,0,36,0,8,60,3,4
Mario Addison,126,51,55,136,86,222,49,0,0,0,2,0,4,0,0,11
Danielle Hunter,78,49,54.5,193,83,276,67,0,0,0,3,0,4,60,2,6
Olivier Vernon,113,95,54.5,255,98,353,75,1,0,0,2,0,2,43,0,8
Cameron Heyward,134,99,54,257,140,397,79,0,0,0,30,0,5,9,0,6
