0,Game,Game,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Player,G,GS,Cmp,Att,Yds,TD,Int,Sk,4QC
Drew Brees,275,274,6867,10161,77416,547,237,407,35
Tom Brady,285,283,6377,9988,74571,541,179,500,36
Philip Rivers,228,224,4908,7591,59271,397,198,445,27
Eli Manning,236,234,4895,8119,57023,366,244,411,27
Ben Roethlisberger,218,216,4651,7230,56545,363,191,503,31
Matt Ryan,189,189,4460,6817,51186,321,147,369,30
Aaron Rodgers,181,174,3913,6061,46946,364,84,448,16
Matthew Stafford,149,149,3559,5696,41025,256,134,347,28
Joe Flacco,171,171,3670,5932,40067,218,141,359,18
Alex Smith,166,161,3082,4941,34068,193,101,410,18
Ryan Fitzpatrick,156,139,2886,4787,32886,210,161,285,12
Andy Dalton,133,133,2757,4449,31594,204,118,278,20
Russell Wilson,128,128,2436,3777,29734,227,68,347,21
Cam Newton,125,124,2371,3980,29041,182,108,291,15
Matt Schaub,154,93,2148,3348,25467,136,91,180,11
Kirk Cousins,93,88,2104,3146,24107,155,71,174,10
Ryan Tannehill,100,98,2030,3197,23176,145,81,279,17
Derek Carr,94,94,2120,3313,22793,143,62,171,18
Jameis Winston,72,70,1563,2548,19737,121,88,169,7
Josh McCown,102,76,1584,2633,17731,98,82,235,6
Blake Bortles,78,73,1562,2634,17649,103,75,195,6
Dak Prescott,64,64,1363,2071,15778,97,36,136,8
Case Keenum,67,62,1304,2091,14368,75,47,120,6
Jared Goff,54,54,1166,1869,14219,87,42,106,6
Carson Wentz,56,56,1311,2055,14191,97,35,129,6
Marcus Mariota,63,61,1110,1765,13207,76,44,155,9
Chad Henne,68,53,1161,1959,12960,58,63,149,4
Nick Foles,58,48,1051,1698,11901,71,35,97,8
Brian Hoyer,69,38,873,1477,10274,52,34,86,6
Deshaun Watson,38,37,804,1204,9716,71,29,125,8
Tyrod Taylor,70,46,839,1362,9562,54,20,142,4
Patrick Mahomes,31,31,724,1099,9412,76,18,45,3
Robert Griffin III,52,41,791,1254,9229,43,28,128,4
Blaine Gabbert,56,48,842,1498,9063,48,47,138,7
Mitchell Trubisky,41,41,811,1280,8554,48,29,93,4
Teddy Bridgewater,44,34,698,1070,7652,38,25,97,5
Matt Moore,55,32,645,1074,7597,49,36,87,6
Baker Mayfield,30,29,627,1020,7552,49,35,65,4
Jimmy Garoppolo,42,26,565,837,6946,44,21,65,7
Jacoby Brissett,38,32,584,975,6442,31,13,85,2
Geno Smith,40,31,523,906,6182,29,36,81,3
Colt McCoy,39,28,560,923,6080,29,27,89,2
Sam Darnold,26,26,512,855,5889,36,28,63,3
Trevor Siemian,27,25,498,841,5689,30,24,66,3
Josh Allen,28,27,440,781,5163,30,21,66,6
Mike Glennon,29,22,488,801,5163,36,20,65,3
Lamar Jackson,31,22,364,571,4328,42,9,39,1
Drew Stanton,38,17,345,659,4059,20,24,38,4
Kyler Murray,16,16,349,542,3722,20,12,48,1
Kyle Allen,15,13,323,520,3588,19,16,46,0
Gardner Minshew,14,12,285,470,3271,21,6,33,3
DeShone Kizer,18,15,275,518,3081,11,24,42,0
Daniel Jones,13,12,284,459,3027,24,12,38,1
Josh Rosen,20,16,275,502,2845,12,19,61,1
C.J. Beathard,13,10,225,393,2682,12,13,37,0
Matt Barkley,14,7,201,342,2502,10,21,12,0
Nick Mullens,9,8,176,274,2277,13,10,17,0
Cody Kessler,17,12,224,349,2215,8,5,49,0
Tom Savage,13,9,181,315,2000,5,7,27,3
Terrelle Pryor,51,30,175,311,1994,9,12,32,0
Brett Hundley,18,9,199,337,1902,9,13,31,2
Mason Rudolph,10,8,176,283,1765,13,9,15,1
Jeff Driskel,12,8,167,281,1688,10,6,27,0
Josh Johnson,33,8,148,268,1632,8,14,26,1
Chase Daniel,65,5,149,218,1430,7,5,23,1
Dwayne Haskins,9,7,119,203,1365,7,7,29,1
A.J. McCarron,15,4,108,173,1153,6,3,19,0
Devlin Hodges,8,6,100,160,1063,5,8,15,0
Drew Lock,5,5,100,156,1020,7,3,5,1
David Blough,5,5,94,174,984,4,6,14,0
Nathan Peterman,8,4,68,130,548,3,12,8,0
Brandon Allen,3,3,39,84,515,3,2,9,0
Ryan Finley,3,3,41,87,474,2,2,11,0
Luke Falk,3,2,47,73,416,0,3,16,0
Sean Mannion,13,2,45,74,384,0,3,3,0
David Fales,5,0,31,48,287,1,1,3,0
Will Grier,2,2,28,52,228,0,4,6,0
Matt Simms,4,0,19,39,195,1,1,4,0
Nate Sudfeld,3,0,20,25,156,1,0,3,0
Taysom Hill,37,9,6,13,119,0,1,2,0
Alex Tanney,2,0,11,15,100,1,0,3,0
Cardale Jones,1,0,6,11,96,0,1,1,0
Logan Thomas,42,8,2,10,96,1,0,2,0
Garrett Gilbert,6,0,2,6,40,0,0,1,0
Jake Rudock,3,0,3,5,24,0,1,0,0
Ryan Griffin,2,0,2,4,18,0,0,0,0
Tim Boyle,3,0,3,4,15,0,0,0,0
Jarrett Stidham,3,0,2,4,14,0,1,1,0
Cooper Rush,5,0,1,3,2,0,0,0,0
Tyler Bray,1,0,0,1,0,0,0,0,0
Chad Kelly,1,0,0,0,0,0,0,0,0
Kyle Lauletta,2,0,0,5,0,0,1,0,0
Trace McSorley,1,0,0,0,0,0,0,0,0
