,Game,Game,Rece,Rece,Rece
Player,G,GS,Rec,Yds,TD
,,,,,
Larry Fitzgerald,250,248,1378,17083,120
Jason Witten,255,245,1215,12977,72
Antonio Brown,131,103,841,11263,75
Julio Jones,126,125,797,12125,57
Demaryius Thomas,143,128,724,9763,63
Greg Olsen,188,162,718,8444,59
Golden Tate,148,111,660,7890,44
Jimmy Graham,153,111,649,7883,74
Michael Crabtree,143,139,637,7499,54
DeAndre Hopkins,110,110,632,8602,54
A.J. Green,111,111,602,8907,63
Emmanuel Sanders,144,104,601,7893,42
Julian Edelman,131,84,599,6507,36
DeSean Jackson,156,149,598,10420,55
Vernon Davis,198,179,583,7562,63
Jarvis Landry,96,87,564,6188,32
Darren Sproles,183,31,553,4840,32
T.Y. Hilton,118,97,552,8598,45
Danny Amendola,141,71,547,5362,21
Ben Watson,205,143,547,6058,44
Randall Cobb,120,79,525,6352,44
Zach Ertz,106,71,525,5743,35
Keenan Allen,86,82,524,6405,34
Travis Kelce,96,89,507,6465,37
Delanie Walker,183,101,504,5888,36
LeSean McCoy,160,141,503,3797,16
Doug Baldwin,123,90,493,6563,49
Michael Thomas,63,57,470,5512,32
Alshon Jeffery,102,95,469,6671,45
Jared Cook,163,84,468,6169,34
Frank Gore,226,204,468,3896,18
Odell Beckham,75,71,464,6511,48
Mike Evans,90,89,462,7260,48
Robert Woods,100,90,435,5585,25
Davante Adams,86,79,431,5194,44
Kyle Rudolph,128,120,425,4154,47
Ted Ginn,187,83,409,5702,33
Mohamed Sanu,118,92,403,4507,26
Brandin Cooks,88,77,402,5730,34
Marcedes Lewis,202,172,393,4697,34
Cole Beasley,118,32,386,4049,29
Le'Veon Bell,77,77,378,3121,8
Stefon Diggs,70,63,365,4623,30
Charles Clay,127,110,357,3868,24
Amari Cooper,77,72,357,5097,33
Allen Robinson,72,68,355,4749,33
Marvin Jones,96,72,347,5047,42
Jordan Reed,65,36,329,3371,24
Adam Thielen,90,56,323,4315,25
James White,78,13,320,2809,24
Torrey Smith,119,106,319,5141,41
Christian McCaffrey,48,42,303,2523,15
Jamison Crowder,72,40,299,3461,20
Kenny Stills,107,77,299,4699,36
Giovani Bernard,99,20,295,2512,8
Adrian Peterson,164,154,289,2365,6
John Brown,87,57,287,4290,28
Marshawn Lynch,149,135,287,2214,9
Theo Riddick,84,19,285,2238,14
Sammy Watkins,76,73,284,4244,31
Eric Ebron,83,47,283,3195,27
Tyreek Hill,59,42,281,4115,32
Duke Johnson,80,12,279,2580,11
Tyler Lockett,79,55,276,3838,27
Jordan Matthews,73,47,274,3288,22
Devonta Freeman,77,59,257,2015,11
Andre Roberts,148,41,257,3010,15
Adam Humphries,72,20,256,2703,11
