,Game,Game,Rush,Rush,Rush
Player,G,GS,Att,Yds,TD
,,,,,
Frank Gore,226,204,3548,15347,79
Adrian Peterson,164,154,3036,14216,111
LeSean McCoy,160,141,2447,11071,73
Marshawn Lynch,149,135,2453,10413,85
Mark Ingram,121,79,1523,7025,60
Le'Veon Bell,77,77,1474,6125,38
Alfred Morris,105,70,1374,5935,34
Lamar Miller,105,89,1354,5864,32
Ezekiel Elliott,56,56,1169,5405,40
Todd Gurley,73,72,1265,5404,58
Doug Martin,84,74,1322,5356,30
Cam Newton,125,124,934,4806,58
Carlos Hyde,80,57,1072,4370,32
Latavius Murray,93,56,1045,4335,39
Melvin Gordon,67,63,1059,4240,36
Russell Wilson,128,128,720,3993,19
Devonta Freeman,77,59,951,3972,32
Jordan Howard,57,48,897,3895,30
Derrick Henry,62,31,804,3833,38
Isaiah Crowell,77,51,880,3803,27
Bilal Powell,109,38,850,3675,15
Darren Sproles,183,31,732,3552,23
C.J. Anderson,71,39,776,3497,22
Giovani Bernard,99,20,797,3281,19
David Johnson,62,47,781,3128,33
Aaron Rodgers,181,174,614,3122,28
Joe Mixon,44,35,693,2931,17
Christian McCaffrey,48,42,623,2920,24
Tevin Coleman,70,31,665,2884,24
Leonard Fournette,36,36,666,2631,17
Alex Smith,166,161,570,2601,15
Chris Carson,33,32,574,2589,16
Jay Ajayi,45,23,572,2546,13
Nick Chubb,32,25,490,2490,16
Ryan Fitzpatrick,156,139,544,2470,19
Alvin Kamara,45,25,485,2408,27
Alfred Blue,72,16,673,2407,8
Marlon Mack,40,22,535,2357,20
Kareem Hunt,35,30,496,2330,17
Saquon Barkley,29,29,478,2310,17
Dion Lewis,86,27,538,2310,11
Aaron Jones,40,28,450,2260,28
Kenyan Drake,62,24,456,2175,17
Dalvin Cook,29,28,457,2104,17
Phillip Lindsay,31,24,416,2048,16
Peyton Barber,63,28,551,1987,15
T.J. Yeldon,57,30,482,1935,6
Jerick McKinnon,58,14,474,1918,7
Matt Breida,43,18,381,1902,6
Lamar Jackson,31,22,323,1901,12
Sony Michel,29,22,456,1843,13
Tyrod Taylor,70,46,336,1843,16
Blake Bortles,78,73,283,1766,8
Robert Griffin,52,41,295,1740,10
Duke Johnson,80,12,382,1696,7
Spencer Ware,43,19,357,1631,11
James Conner,37,22,363,1581,16
Jamaal Williams,46,17,381,1480,8
Gus Edwards,27,7,270,1429,4
Marcus Mariota,63,61,242,1399,11
Ryan Tannehill,100,98,291,1395,10
Austin Ekeler,46,11,285,1371,8
Ameer Abdullah,58,22,350,1366,6
Ben Roethlisberger,218,216,470,1357,19
Robert Turbin,82,4,355,1354,9
Tavon Austin,96,50,196,1340,10
Matt Ryan,189,189,418,1295,9
Javorius Allen,64,6,350,1285,9
Deshaun Watson,38,37,217,1233,14
Damien Williams,85,13,294,1231,12
Andy Dalton,133,133,394,1221,22
Dak Prescott,64,64,241,1221,21
Chris Thompson,66,1,250,1194,5
Jalen Richard,64,2,233,1170,3
Josh Jacobs,13,13,242,1150,7
Josh Allen,28,27,198,1141,17
Rex Burkhead,73,9,273,1127,11
DeAndre Washington,55,5,282,1122,7
James White,78,13,274,1119,8
Josh McCown,102,76,248,1106,13
Devontae Booker,61,6,289,1103,6
Matthew Stafford,149,149,316,1086,14
Brandon Bolden,114,8,239,1071,11
Raheem Mostert,50,0,178,1069,9
Kerryon Johnson,18,14,231,1044,6
Jameis Winston,72,70,248,1044,10
Tom Brady,285,283,606,1037,22
Ty Montgomery,58,16,224,1035,7
Tarik Cohen,48,22,250,1027,5
Theo Riddick,84,19,288,1023,5
Royce Freeman,30,8,262,1017,8
Wendell Smallwood,52,12,233,931,5
Robert Kelley,24,16,234,906,9
Mike Davis,47,10,247,889,5
David Montgomery,16,8,242,889,6
Mitchell Trubisky,41,41,157,862,7
Joe Flacco,171,171,357,831,16
Miles Sanders,16,11,179,818,3
